"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1086",608379,"Michael Wacha",2017,2644,0.0972,0.09821,-0.00527832810720064,828,0.30556,0.34052,-0.026021967138405,1373,0.67007,0.65858,-0.00484721271157872,-0.0264530825340269,3.093
"1087",608379,"Michael Wacha",2018,1409,0.09723,0.10119,-0.00965793399256903,419,0.25298,0.28157,-0.0178300134457797,696,0.68678,0.66548,0.00699617102964563,-0.0344841184679943,2.909
"1088",608379,"Michael Wacha",2019,2233,0.09539,0.1009,-0.0108108350066027,799,0.29662,0.30321,0.00994154865970751,1049,0.70543,0.67996,0.017360130843946,-0.0182294171908411,2.958
"1089",608566,"German Marquez",2017,2655,0.0919,0.0986,-0.00709435801713684,693,0.2482,0.28438,-0.0153869580261941,1516,0.66953,0.66902,-0.00208029962161016,-0.0204010164217208,2.889
"1090",608566,"German Marquez",2018,3166,0.12761,0.10996,0.0143018369480417,792,0.22601,0.28775,-0.0291688166438354,1640,0.64817,0.65927,-0.0145981347214059,-0.000268844974387825,3.023
"1091",608566,"German Marquez",2019,2716,0.12629,0.11199,0.00935647929132512,614,0.2557,0.29971,-0.014968687826121,1414,0.66124,0.64859,0.0039753166913695,-0.00958752522616534,3.1
"1092",608648,"Tyler Duffey",2016,2278,0.0856,0.11063,-0.0216897752394568,644,0.32453,0.2893,0.0243553261922786,1113,0.63881,0.63943,-0.00434336086922173,0.0070089118220436,3.065
"1093",608665,"Kendall Graveman",2015,1893,0.07765,0.08019,-0.00274209776143662,633,0.2812,0.27275,-0.00224505001845748,866,0.63972,0.62946,0.000191107649152747,-0.00517825542904685,2.734
"1094",608665,"Kendall Graveman",2016,2897,0.0756,0.07564,0.00136652755678699,868,0.25922,0.27893,-0.0202594670614427,1440,0.62292,0.62581,-0.00867771165260278,-0.0102152278520529,2.718
"1095",608665,"Kendall Graveman",2017,1601,0.06871,0.0812,-0.00993961207683464,384,0.3099,0.31711,-0.00776975281684412,718,0.63928,0.61772,0.0103251954459784,-0.0280345603396572,2.914
"1096",608716,"Drew Steckenrider",2018,1203,0.11222,0.10203,0.00577119829008969,387,0.26615,0.32163,-0.0240933083296309,610,0.69672,0.6929,-0.0118522174999542,-0.00646989253958697,3.013
